,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[104],-0.257,2.863,-5.473,5.281,0.046,0.064,3869.0,1578.0,1.0
x[105],0.75,2.405,-3.788,5.145,0.037,0.051,4075.0,1461.0,1.0
x[106],4.416,2.717,-0.604,9.593,0.039,0.038,4885.0,1152.0,1.0
x[107],2.644,2.41,-1.96,7.123,0.035,0.037,4846.0,1627.0,1.0
x[108],-0.804,2.304,-5.187,3.628,0.034,0.052,4647.0,1514.0,1.0
x[109],0.562,2.326,-3.657,5.045,0.039,0.058,3583.0,1481.0,1.0
x[110],0.528,2.237,-3.698,4.508,0.038,0.059,3474.0,1210.0,1.0
x[111],-1.243,2.218,-5.435,2.734,0.031,0.045,5252.0,1144.0,1.0
x[112],-0.824,2.841,-6.027,4.784,0.036,0.079,6377.0,1297.0,1.0
x[113],-4.23,3.084,-10.049,1.213,0.042,0.046,5325.0,1365.0,1.0
