,mu,sd,name
511,0.0,5,Rawle Alkins
512,0.0,5,Lorenzo Brown
513,3.9166666666666665,5,T.J. Warren
514,1.91904,5,Brandon Ingram
515,0.66384,5,Chandler Hutchison
516,0.0,5,Demetrius Jackson
517,0.0,5,Donte Grantham
518,0.0,5,Emanuel Terry
519,0.0,5,Andre Ingram
520,0.0,5,Kostas Antetokounmpo
521,0.0,5,John Holland
522,0.0,5,Tyler Ulis
523,0.0,5,George King
524,0.0,5,RJ Hunter
525,0.0,5,Kalin Lucas
526,0.0,5,Angel Delgado
527,0.0,5,Dusty Hannahs
528,0.0,5,Joe Chealey
