"","Year","Pick","Name","Team"
"1011",2003,52,"Remon Van de Hare","Toronto Raptors"
"1012",2003,53,"Tommy Smith","Chicago Bulls"
"1013",2003,54,"Nedzad Sinanovic","Portland Trail Blazers"
"1014",2003,55,"Rick Rickert","Minnesota Timberwolves"
"1015",2003,56,"Brandon Hunter","Boston Celtics"
"1016",2003,57,"Xue Yuyang","Dallas Mavericks"
"1017",2003,58,"Andreas Glyniadakis","Detroit Pistons"
"1018",2002,1,"Yao Ming","Houston Rockets"
"1019",2002,2,"Jay Williams","Chicago Bulls"
"1020",2002,3,"Mike Dunleavy","Golden State Warriors"
"1021",2002,4,"Drew Gooden","Memphis Grizzlies"
"1022",2002,5,"Nikoloz Tskitishvili","Denver Nuggets"
"1023",2002,6,"Dajuan Wagner","Cleveland Cavaliers"
"1024",2002,7,"Nene","New York Knicks"
"1025",2002,8,"Chris Wilcox","Los Angeles Clippers"
"1026",2002,9,"Amar'e Stoudemire","Phoenix Suns"
"1027",2002,10,"Caron Butler","Miami Heat"
"1028",2002,11,"Jared Jeffries","Washington Wizards"
"1029",2002,12,"Melvin Ely","Los Angeles Clippers"
"1030",2002,13,"Marcus Haislip","Milwaukee Bucks"
"1031",2002,14,"Fred Jones","Indiana Pacers"
"1032",2002,15,"Bostjan Nachbar","Houston Rockets"
"1033",2002,16,"Jiri Welsch","Philadelphia 76ers"
"1034",2002,17,"Juan Dixon","Washington Wizards"
"1035",2002,18,"Curtis Borchardt","Orlando Magic"
"1036",2002,19,"Ryan Humphrey","Utah Jazz"
"1037",2002,20,"Kareem Rush","Toronto Raptors"
"1038",2002,21,"Qyntel Woods","Portland Trail Blazers"
"1039",2002,22,"Casey Jacobsen","Phoenix Suns"
"1040",2002,23,"Tayshaun Prince","Detroit Pistons"
"1041",2002,24,"Nenad Krstic","New Jersey Nets"
"1042",2002,25,"Frank Williams","Denver Nuggets"
"1043",2002,26,"John Salmons","San Antonio Spurs"
"1044",2002,27,"Chris Jefferies","Los Angeles Lakers"
"1045",2002,28,"Dan Dickau","Sacramento Kings"
"1046",2002,29,"Steve Logan","Golden State Warriors"
"1047",2002,30,"Roger Mason Jr.","Chicago Bulls"
"1048",2002,31,"Robert Archibald","Memphis Grizzlies"
"1049",2002,32,"Vincent Yarbrough","Denver Nuggets"
"1050",2002,33,"Dan Gadzuric","Milwaukee Bucks"
"1051",2002,34,"Carlos Boozer","Cleveland Cavaliers"
"1052",2002,35,"Milos Vujanic","New York Knicks"
"1053",2002,36,"David Andersen","Atlanta Hawks"
"1054",2002,37,"Tito Maddox","Houston Rockets"
"1055",2002,38,"Rod Grizzard","Washington Wizards"
"1056",2002,39,"Juan Carlos Navarro","Washington Wizards"
"1057",2002,40,"Mario Kasun","Los Angeles Clippers"
"1058",2002,41,"Flip Murray","Milwaukee Bucks"
"1059",2002,42,"Jason Jennings","Portland Trail Blazers"
"1060",2002,43,"Lonny Baxter","Chicago Bulls"
"1061",2002,44,"Sam Clancy","Philadelphia 76ers"
"1062",2002,45,"Matt Barnes","Memphis Grizzlies"
"1063",2002,46,"Jamal Sampson","Utah Jazz"
"1064",2002,47,"Chris Owens","Milwaukee Bucks"
"1065",2002,48,"Peter Fehse","Seattle SuperSonics"
"1066",2002,49,"Darius Songaila","Boston Celtics"
"1067",2002,50,"Federico Kammerichs","Portland Trail Blazers"
"1068",2002,51,"Marcus Taylor","Minnesota Timberwolves"
"1069",2002,52,"Rasual Butler","Miami Heat"
"1070",2002,53,"Tamar Slay","New Jersey Nets"
"1071",2002,54,"Mladen Sekularac","Dallas Mavericks"
"1072",2002,55,"Luis Scola","San Antonio Spurs"
"1073",2002,56,"Randy Holcomb","San Antonio Spurs"
"1074",2002,57,"Corsley Edwards","Sacramento Kings"
"1075",2001,1,"Kwame Brown","Washington Wizards"
"1076",2001,2,"Tyson Chandler","Los Angeles Clippers"
"1077",2001,3,"Pau Gasol","Atlanta Hawks"
"1078",2001,4,"Eddy Curry","Chicago Bulls"
"1079",2001,5,"Jason Richardson","Golden State Warriors"
"1080",2001,6,"Shane Battier","Memphis Grizzlies"
"1081",2001,7,"Eddie Griffin","New Jersey Nets"
"1082",2001,8,"DeSagana Diop","Cleveland Cavaliers"
"1083",2001,9,"Rodney White","Detroit Pistons"
"1084",2001,10,"Joe Johnson","Boston Celtics"
"1085",2001,11,"Kedrick Brown","Boston Celtics"
"1086",2001,12,"Vladimir Radmanovic","Seattle SuperSonics"
"1087",2001,13,"Richard Jefferson","Houston Rockets"
"1088",2001,14,"Troy Murphy","Golden State Warriors"
"1089",2001,15,"Steven Hunter","Orlando Magic"
"1090",2001,16,"Kirk Haston","Charlotte Hornets"
"1091",2001,17,"Michael Bradley","Toronto Raptors"
"1092",2001,18,"Jason Collins","Houston Rockets"
