,Team,rating,Unnamed: 0,Type,mu,sd,name
293,Dallas Mavericks,-1.412858355,3304,Non-rookie,1.666666667,5,Dirk Nowitzki
294,Dallas Mavericks,-1.412858355,3424,Rookie,0.437537,5,Dorian Finney-Smith
295,Dallas Mavericks,-1.412858355,3558,Rookie,3.001041667,5,Dwight Powell
296,Dallas Mavericks,-1.412858355,4254,Rookie,0.016666667,5,Gian Clavell
297,Dallas Mavericks,-1.412858355,4518,Non-rookie,7.704001333,5,Harrison Barnes
298,Dallas Mavericks,-1.412858355,4760,Rookie,1.3013,5,J.J. Barea
299,Dallas Mavericks,-1.412858355,5432,Rookie,0.525773333,5,Jeff Withey
300,Dallas Mavericks,-1.412858355,6136,Non-rookie,2.007058333,5,Josh McRoberts
301,Dallas Mavericks,-1.412858355,7903,Rookie,0.271871667,5,Maxi Kleber
302,Dallas Mavericks,-1.412858355,8468,Non-rookie,1.395866333,5,Nerlens Noel
303,Dallas Mavericks,-1.412858355,9808,Rookie,0.490460667,5,Salah Mejri
304,Dallas Mavericks,-1.412858355,11626,Non-rookie,5.961392,5,Wesley Matthews
305,Dallas Mavericks,-1.412858355,11758,Rookie,0.437537,5,Yogi Ferrell
306,Sacramento Kings,-2.167864662,728,Non-rookie,1.096666667,5,Anthony Tolliver
307,Sacramento Kings,-2.167864662,847,Non-rookie,0.776217333,5,Arron Afflalo
308,Sacramento Kings,-2.167864662,1189,Rookie,3.156871333,5,Bogdan Bogdanovic
309,Sacramento Kings,-2.167864662,1552,Rookie,1.22516,5,Buddy Hield
310,Sacramento Kings,-2.167864662,4061,Rookie,0.394795,5,Frank Mason
311,Sacramento Kings,-2.167864662,4107,Non-rookie,2.666666667,5,Garrett Temple
312,Sacramento Kings,-2.167864662,4174,Non-rookie,6.666666667,5,George Hill
313,Sacramento Kings,-2.167864662,4203,Rookie,0.76712,5,Georgios Papagiannis
314,Sacramento Kings,-2.167864662,6234,Rookie,0.78852,5,Justin Jackson
315,Sacramento Kings,-2.167864662,6755,Non-rookie,2.797666667,5,Kosta Koufos
316,Sacramento Kings,-2.167864662,7375,Rookie,0.50152,5,Malachi Richardson
317,Sacramento Kings,-2.167864662,10296,Rookie,0.437537,5,Skal Labissiere
318,Sacramento Kings,-2.167864662,11450,Non-rookie,2.666666667,5,Vince Carter
319,Sacramento Kings,-2.167864662,11692,Rookie,1.23472,5,Willie Cauley-Stein
320,Sacramento Kings,-2.167864662,11782,Non-rookie,4.102564,5,Zach Randolph
321,New York Knicks,-2.742011328,2333,Non-rookie,3.915963333,5,Courtney Lee
