,rating,Team,mu,sd,name,Contract Value,Year,Type
322,1.628278788,Brooklyn Nets,3.041666667,5,Trevor Booker,"$9,125,000.00 ",2017,Non-rookie
323,1.628278788,Brooklyn Nets,0.569846,5,Tyler Zeller,"$1,709,538.00 ",2017,Non-rookie
325,0.394281214,Orlando Magic,0.776217333,5,Arron Afflalo,"$2,328,652.00 ",2017,Non-rookie
327,0.394281214,Orlando Magic,5.666666667,5,Bismack Biyombo,"$17,000,000.00 ",2017,Non-rookie
328,0.394281214,Orlando Magic,2.416666667,5,D.J. Augustin,"$7,250,000.00 ",2017,Non-rookie
330,0.394281214,Orlando Magic,5.666666667,5,Evan Fournier,"$17,000,000.00 ",2017,Non-rookie
332,0.394281214,Orlando Magic,2.1,5,Jonathon Simmons,"$6,300,000.00 ",2017,Non-rookie
335,0.394281214,Orlando Magic,0.705651667,5,Marreese Speights,"$2,116,955.00 ",2017,Non-rookie
336,0.394281214,Orlando Magic,4.083333333,5,Nikola Vucevic,"$12,250,000.00 ",2017,Non-rookie
337,0.394281214,Orlando Magic,2,5,Shelvin Mack,"$6,000,000.00 ",2017,Non-rookie
338,0.394281214,Orlando Magic,3.5,5,Terrence Ross,"$10,500,000.00 ",2017,Non-rookie
340,-0.49881092,Memphis Grizzlies,1.733333333,5,Ben McLemore,"$5,200,000.00 ",2017,Non-rookie
341,-0.49881092,Memphis Grizzlies,1.985253333,5,Brandan Wright,"$5,955,760.00 ",2017,Non-rookie
342,-0.49881092,Memphis Grizzlies,7.704001333,5,Chandler Parsons,"$23,112,004.00 ",2017,Non-rookie
346,-0.49881092,Memphis Grizzlies,2.844444333,5,JaMychal Green,"$8,533,333.00 ",2017,Non-rookie
348,-0.49881092,Memphis Grizzlies,7.54745,5,Marc Gasol,"$22,642,350.00 ",2017,Non-rookie
349,-0.49881092,Memphis Grizzlies,0.702135667,5,Mario Chalmers,"$2,106,407.00 ",2017,Non-rookie
350,-0.49881092,Memphis Grizzlies,9.510202667,5,Mike Conley,"$28,530,608.00 ",2017,Non-rookie
351,-0.49881092,Memphis Grizzlies,1.096666667,5,Tyreke Evans,"$3,290,000.00 ",2017,Non-rookie
357,-1.257988701,Sacramento Kings,3.156871333,5,Bogdan Bogdanovic,"$9,470,614.00 ",2017,Non-rookie
360,-1.257988701,Sacramento Kings,2.666666667,5,Garrett Temple,"$8,000,000.00 ",2017,Non-rookie
361,-1.257988701,Sacramento Kings,6.666666667,5,George Hill,"$20,000,000.00 ",2017,Non-rookie
364,-1.257988701,Sacramento Kings,2.797666667,5,Kosta Koufos,"$8,393,000.00 ",2017,Non-rookie
367,-1.257988701,Sacramento Kings,2.666666667,5,Vince Carter,"$8,000,000.00 ",2017,Non-rookie
369,-1.257988701,Sacramento Kings,4.102564,5,Zach Randolph,"$12,307,692.00 ",2017,Non-rookie
372,-1.539041969,Chicago Bulls,2.6145,5,Cristiano Felicio,"$7,843,500.00 ",2017,Non-rookie
375,-1.539041969,Chicago Bulls,5.183333333,5,Dwyane Wade,"$15,550,000.00 ",2017,Non-rookie
385,-1.539041969,Chicago Bulls,4.166666667,5,Nikola Mirotic,"$12,500,000.00 ",2017,Non-rookie
387,-1.539041969,Chicago Bulls,1.284643667,5,Quincy Pondexter,"$3,853,931.00 ",2017,Non-rookie
390,-1.539041969,Chicago Bulls,4.596166667,5,Robin Lopez,"$13,788,500.00 ",2017,Non-rookie
392,-3.470284758,Phoenix Suns,2,5,Alan Williams,"$6,000,000.00 ",2017,Non-rookie
393,-3.470284758,Phoenix Suns,1.395866333,5,Alex Len,"$4,187,599.00 ",2017,Non-rookie
397,-3.470284758,Phoenix Suns,5.961392,5,Greg Monroe,"$17,884,176.00 ",2017,Non-rookie
398,-3.470284758,Phoenix Suns,3.333333333,5,Jared Dudley,"$10,000,000.00 ",2017,Non-rookie
404,-3.470284758,Phoenix Suns,4.333333333,5,Tyson Chandler,"$13,000,000.00 ",2017,Non-rookie
408,11.46367947,Toronto Raptors ,9.246658333,5,DeMar DeRozan,"$27,739,975.00 ",2017,Non-rookie
411,11.46367947,Toronto Raptors ,5.153558333,5,Jonas Valanciunas,"$15,460,675.00 ",2017,Non-rookie
412,11.46367947,Toronto Raptors ,9.567901333,5,Kyle Lowry,"$28,703,704.00 ",2017,Non-rookie
417,11.46367947,Toronto Raptors ,6.687243,5,Serge Ibaka,"$20,061,729.00 ",2017,Non-rookie
420,6.237947831,Cleveland Cavaliers,2.473637333,5,Channing Frye,"$7,420,912.00 ",2017,Non-rookie
421,6.237947831,Cleveland Cavaliers,0.705651667,5,Derrick Rose,"$2,116,955.00 ",2017,Non-rookie
424,6.237947831,Cleveland Cavaliers,3.445693,5,Iman Shumpert,"$10,337,079.00 ",2017,Non-rookie
425,6.237947831,Cleveland Cavaliers,2.087131667,5,Isaiah Thomas,"$6,261,395.00 ",2017,Non-rookie
426,6.237947831,Cleveland Cavaliers,2.265372333,5,Jae Crowder,"$6,796,117.00 ",2017,Non-rookie
427,6.237947831,Cleveland Cavaliers,0.705651667,5,Jeff Green,"$2,116,955.00 ",2017,Non-rookie
428,6.237947831,Cleveland Cavaliers,0.776217333,5,Jose Calderon,"$2,328,652.00 ",2017,Non-rookie
429,6.237947831,Cleveland Cavaliers,7.54745,5,Kevin Love,"$22,642,350.00 ",2017,Non-rookie
430,6.237947831,Cleveland Cavaliers,2.333333333,5,Kyle Korver,"$7,000,000.00 ",2017,Non-rookie
431,6.237947831,Cleveland Cavaliers,11.09523633,5,LeBron James,"$33,285,709.00 ",2017,Non-rookie
432,6.237947831,Cleveland Cavaliers,5.466666667,5,Tristan Thompson,"$16,400,000.00 ",2017,Non-rookie
435,0,Atlanta Hawks,5.166666667,5,Dennis Schroder,"$15,500,000.00 ",2017,Non-rookie
436,0,Atlanta Hawks,2,5,Dewayne Dedmon,"$6,000,000.00 ",2017,Non-rookie
437,0,Atlanta Hawks,2,5,Ersan Ilyasova,"$6,000,000.00 ",2017,Non-rookie
441,0,Atlanta Hawks,0.016666667,5,Jeremy Evans,"$50,000.00 ",2017,Non-rookie
443,0,Atlanta Hawks,5.636704333,5,Kent Bazemore,"$16,910,113.00 ",2017,Non-rookie
444,0,Atlanta Hawks,0.658053,5,Luke Babbitt,"$1,974,159.00 ",2017,Non-rookie
446,0,Atlanta Hawks,2.20202,5,Marco Belinelli,"$6,606,060.00 ",2017,Non-rookie
448,0,Atlanta Hawks,4.166666667,5,Miles Plumlee,"$12,500,000.00 ",2017,Non-rookie
452,0,Atlanta Hawks,0.833333333,5,Richard Jefferson,"$2,500,000.00 ",2017,Non-rookie
