X,Unnamed..0,rating,Team,mu,sd,name,Contract.Value,Year,Type,coefs,index,player_id,player_name
124,221,1.904907009,Miami Heat,4.651333333,5,James Johnson,"$13,954,000.00 ",2017,Non-rookie,-0.247584241,495,201949,James Johnson
125,225,1.904907009,Miami Heat,3.535723,5,Kelly Olynyk,"$10,607,169.00 ",2017,Non-rookie,4.87680355,405,203482,Kelly Olynyk
126,228,1.904907009,Miami Heat,1.96042,5,Tyler Johnson,"$5,881,260.00 ",2017,Non-rookie,2.281766645,262,204020,Tyler Johnson
127,229,1.904907009,Miami Heat,0.776217333,5,Udonis Haslem,"$2,328,652.00 ",2017,Non-rookie,-2.550584504,403,2617,Udonis Haslem
128,230,1.904907009,Miami Heat,2.09,5,Wayne Ellington,"$6,270,000.00 ",2017,Non-rookie,2.93453736,85,201961,Wayne Ellington
129,232,0.860694254,Milwaukee Bucks,0.525743333,5,DeAndre Liggins,"$1,577,230.00 ",2017,Non-rookie,-6.03408048,164,202732,DeAndre Liggins
130,234,0.860694254,Milwaukee Bucks,4.833333333,5,Eric Bledsoe,"$14,500,000.00 ",2017,Non-rookie,4.762684236,24,202339,Eric Bledsoe
131,235,0.860694254,Milwaukee Bucks,7.490636667,5,Giannis Antetokounmpo,"$22,471,910.00 ",2017,Non-rookie,0.75321236,433,203507,Giannis Antetokounmpo
132,236,0.860694254,Milwaukee Bucks,2.260797333,5,Jabari Parker,"$6,782,392.00 ",2017,Non-rookie,-7.96006342,352,203953,Jabari Parker
133,237,0.860694254,Milwaukee Bucks,0.776217333,5,Jason Terry,"$2,328,652.00 ",2017,Non-rookie,3.293540483,150,1891,Jason Terry
134,238,0.860694254,Milwaukee Bucks,3.807512,5,John Henson,"$11,422,536.00 ",2017,Non-rookie,2.250638806,400,203089,John Henson
135,239,0.860694254,Milwaukee Bucks,4.7,5,Khris Middleton,"$14,100,000.00 ",2017,Non-rookie,3.91325507,173,203114,Khris Middleton
136,241,0.860694254,Milwaukee Bucks,3.2025,5,Matthew Dellavedova,"$9,607,500.00 ",2017,Non-rookie,0.528918565,25,203521,Matthew Dellavedova
137,242,0.860694254,Milwaukee Bucks,3.5,5,Mirza Teletovic,"$10,500,000.00 ",2017,Non-rookie,3.07257348,288,203141,Mirza Teletovic
138,246,0.860694254,Milwaukee Bucks,3.273809667,5,Tony Snell,"$9,821,429.00 ",2017,Non-rookie,-1.770057643,210,203503,Tony Snell
139,247,-0.16488799,Detroit Pistons,7.925168667,5,Andre Drummond,"$23,775,506.00 ",2017,Non-rookie,-3.476352064,139,203083,Andre Drummond
140,248,-0.16488799,Detroit Pistons,1.096666667,5,Anthony Tolliver,"$3,290,000.00 ",2017,Non-rookie,-2.290586659,140,201229,Anthony Tolliver
141,250,-0.16488799,Detroit Pistons,2.936329667,5,Avery Bradley,"$8,808,989.00 ",2017,Non-rookie,-0.331848772,91,202340,Avery Bradley
142,251,-0.16488799,Detroit Pistons,2.333333333,5,Boban Marjanovic,"$7,000,000.00 ",2017,Non-rookie,6.088964032,159,1626246,Boban Marjanovic
143,254,-0.16488799,Detroit Pistons,2,5,Ish Smith,"$6,000,000.00 ",2017,Non-rookie,0.667964702,484,202397,Ish Smith
