,rating,Team,mu,sd,name
348,,Cleveland Caveliers,11.09523633,5,LeBron James
349,,Cleveland Caveliers,5.466666667,5,Tristan Thompson
350,,Atlanta Hawks,5.166666667,5,Dennis Schroder
351,,Atlanta Hawks,2,5,Dewayne Dedmon
352,,Atlanta Hawks,2,5,Ersan Ilyasova
353,,Atlanta Hawks,3.647587333,5,Jamal Crawford
354,,Atlanta Hawks,0.64564,5,John Collins
355,,Atlanta Hawks,5.636704333,5,Kent Bazemore
356,,Atlanta Hawks,2.20202,5,Marco Belinelli
357,,Atlanta Hawks,1.666666667,5,Mike Muscala
358,,Atlanta Hawks,4.166666667,5,Miles Plumlee
359,,Atlanta Hawks,0.033333333,5,Quinn Cook
360,,Atlanta Hawks,0.016666667,5,Tyler Cavanaugh
361,,Atlanta Hawks,0.271871667,5,Tyler Dorsey
362,,,0,5,Damion Lee
363,,,0,5,Miles Bridges
364,,,0,5,Trae Young
365,,,0,5,Jaylen Adams
366,,,0,5,Rodions Kurucs
367,,,0,5,Otto Porter Jr.
368,,,0,5,Kenrich Williams
369,,,0,5,E'Twaun Moore
370,,,0,5,Deandre Ayton
371,,,0,5,De'Anthony Melton
372,,,0,5,Mikal Bridges
373,,,0,5,Elie Okobo
374,,,0,5,Harry Giles III
375,,,0,5,De'Aaron Fox
376,,,0,5,Alex Caruso
377,,,0,5,Nene
378,,,0,5,Gerald Green
379,,,0,5,Kevin Knox
380,,,0,5,Isaac Bonga
381,,,0,5,Luka Doncic
382,,,0,5,Jalen Brunson
383,,,0,5,Deng Adel
384,,,0,5,Grayson Allen
385,,,0,5,TJ Leaf
386,,,0,5,Dairis Bertans
387,,,0,5,Monte Morris
388,,,0,5,Juancho Hernangomez
389,,,0,5,Amile Jefferson
390,,,0,5,Robert Williams III
391,,,0,5,Jordan Loyd
392,,,0,5,Chris Boucher
393,,,0,5,Bruce Brown
394,,,0,5,Tim Hardaway Jr.
395,,,0,5,Allonzo Trier
396,,,0,5,Marvin Bagley III
397,,,0,5,Collin Sexton
398,,,0,5,Taurean Prince
399,,,0,5,Danuel House Jr.
400,,,0,5,Julian Washburn
401,,,0,5,Alize Johnson
402,,,0,5,PJ Dozier
403,,,0,5,Larry Nance Jr.
404,,,0,5,Jared Terrell
405,,,0,5,Royce O'Neale
406,,,0,5,Shake Milton
407,,,0,5,Duncan Robinson
408,,,0,5,Mitchell Robinson
409,,,0,5,Chris Chiozza
410,,,0,5,Trey Burke
411,,,0,5,Daryl Macon
412,,,0,5,Jimmer Fredette
413,,,0,5,Tyrone Wallace
414,,,0,5,Devin Robinson
415,,,0,5,PJ Tucker
416,,,0,5,Yante Maten
417,,,0,5,Keita Bates-Diop
418,,,0,5,Billy Garrett
419,,,0,5,Haywood Highsmith
420,,,0,5,Kyle O'Quinn
421,,,0,5,Mo Bamba
422,,,0,5,Isaiah Hartenstein
423,,,0,5,Isaiah Briscoe
424,,,0,5,Donte DiVincenzo
425,,,0,5,Ryan Arcidiacono
426,,,0,5,Deonte Burton
427,,,0,5,Svi Mykhailiuk
428,,,0,5,DeVaughn Akoon-Purcell
429,,,0,5,DeAndre' Bembry
430,,,0,5,Alex Poythress
431,,,0,5,Chimezie Metu
432,,,0,5,Wendell Carter Jr.
433,,,0,5,Johnathan Williams
434,,,0,5,Kevin Huerter
435,,,0,5,Derrick Jones Jr.
436,,,0,5,Shaquille Harrison
437,,,0,5,Marcus Derrickson
438,,,0,5,Dzanan Musa
439,,,0,5,Brad Wanamaker
440,,,0,5,CJ McCollum
441,,,0,5,Tyler Davis
442,,,0,5,Jaron Blossomgame
443,,,0,5,Jalen Jones
444,,,0,5,Josh Okogie
445,,,0,5,Naz Mitrou-Long
446,,,0,5,Kelly Oubre Jr.
447,,,0,5,J.P. Macura
448,,,0,5,Brandon Goodwin
449,,,0,5,Theo Pinson
450,,,0,5,Gary Payton II
451,,,0,5,Tahjere McCall
452,,,0,5,CJ Miles
453,,,0,5,Troy Brown Jr.
454,,,0,5,Moritz Wagner
455,,,0,5,BJ Johnson
456,,,0,5,Anfernee Simons
457,,,0,5,Jonah Bolden
458,,,0,5,Torrey Craig
459,,,0,5,Malcolm Miller
460,,,0,5,Ray Spalding
461,,,0,5,Luke Kornet
462,,,0,5,Yuta Watanabe
463,,,0,5,Scott Machado
464,,,0,5,Jevon Carter
465,,,0,5,D'Angelo Russell
466,,,0,5,Glenn Robinson III
467,,,0,5,Jerome Robinson
468,,,0,5,JJ Redick
469,,,0,5,Jemerrio Jones
470,,,0,5,Melvin Frazier Jr.
