,rating,Unnamed: 0,Team,Type,mu,sd,name
288,-5.157090264,4513,Golden State Warriors,Rookie,0.93268,5,Harrison Barnes
289,-5.157090264,5146,Golden State Warriors,Non-rookie,1.8,5,Jarrett Jack
290,-5.157090264,6488,Golden State Warriors,Rookie,0.157868,5,Kent Bazemore
291,-5.157090264,6716,Golden State Warriors,Rookie,0.762,5,Klay Thompson
292,-5.157090264,9332,Golden State Warriors,Non-rookie,3.388,5,Richard Jefferson
293,-5.157090264,10402,Golden State Warriors,Rookie,1.319580667,5,Stephen Curry
294,-5.45830001,262,New Orleans Pelicans,Rookie,0.9826,5,Al-Farouq Aminu
295,-5.45830001,637,New Orleans Pelicans,Rookie,1.71476,5,Anthony Davis
296,-5.45830001,878,New Orleans Pelicans,Rookie,0.74612,5,Austin Rivers
297,-5.45830001,1410,New Orleans Pelicans,Rookie,0.157868,5,Brian Roberts
298,-5.45830001,2670,New Orleans Pelicans,Rookie,0.157868,5,Darius Miller
299,-5.45830001,3320,New Orleans Pelicans,Non-rookie,0.060339333,5,Dominic McGuire
300,-5.45830001,3362,New Orleans Pelicans,Rookie,0.083692,5,Donald Sloan
301,-5.45830001,3821,New Orleans Pelicans,Non-rookie,4.55625,5,Eric Gordon
302,-5.45830001,4464,New Orleans Pelicans,Rookie,0.39708,5,Greivis Vasquez
303,-5.45830001,5264,New Orleans Pelicans,Non-rookie,0.833333333,5,Jason Smith
304,-5.45830001,6922,New Orleans Pelicans,Rookie,0.254065,5,Lance Thomas
305,-5.45830001,7827,New Orleans Pelicans,Non-rookie,1.166666667,5,Matt Carroll
306,-5.45830001,9126,New Orleans Pelicans,Non-rookie,4.566666667,5,Rashard Lewis
307,-5.45830001,9486,New Orleans Pelicans,Non-rookie,1.633097667,5,Robin Lopez
308,-5.45830001,9760,New Orleans Pelicans,Non-rookie,2.9,5,Ryan Anderson
309,-5.45830001,11725,New Orleans Pelicans,Rookie,0.7744,5,Xavier Henry
310,-5.994633816,47,Toronto Raptors,Non-rookie,0.858333333,5,Aaron Gray
311,-5.994633816,186,Toronto Raptors,Rookie,0.29504,5,Alan Anderson
312,-5.994633816,373,Toronto Raptors,Non-rookie,2,5,Amir Johnson
313,-5.994633816,469,Toronto Raptors,Non-rookie,3.333333333,5,Andrea Bargnani
314,-5.994633816,2949,Toronto Raptors,Rookie,1.11475,5,DeMar DeRozan
315,-5.994633816,3318,Toronto Raptors,Non-rookie,0.060339333,5,Dominic McGuire
316,-5.994633816,5991,Toronto Raptors,Rookie,1.20924,5,Jonas Valanciunas
317,-5.994633816,6834,Toronto Raptors,Non-rookie,1.916666667,5,Kyle Lowry
318,-5.994633816,6930,Toronto Raptors,Rookie,2.083333333,5,Landry Fields
319,-5.994633816,7124,Toronto Raptors,Non-rookie,1.533333333,5,Linas Kleiza
320,-5.994633816,8099,Toronto Raptors,Non-rookie,0.335032333,5,Mickael Pietrus
321,-5.994633816,8941,Toronto Raptors,Rookie,0.221666667,5,Quincy Acy
