X,Unnamed..0,rating,Team,mu,sd,name,Contract.Value,Year,Type,coefs,index,player_id,player_name
145,362,-2.167864662,Sacramento Kings,0.76712,5,Georgios Papagiannis,"$2,301,360.00 ",2017,Rookie,0.880045237,429,1627834,Georgios Papagiannis
146,363,-2.167864662,Sacramento Kings,0.78852,5,Justin Jackson,"$2,365,560.00 ",2017,Rookie,-1.783443685,251,1628382,Justin Jackson
147,365,-2.167864662,Sacramento Kings,0.50152,5,Malachi Richardson,"$1,504,560.00 ",2017,Rookie,-1.607066872,132,1627781,Malachi Richardson
148,366,-2.167864662,Sacramento Kings,0.437537,5,Skal Labissiere,"$1,312,611.00 ",2017,Rookie,-2.029559659,45,1627746,Skal Labissiere
149,368,-2.167864662,Sacramento Kings,1.23472,5,Willie Cauley-Stein,"$3,704,160.00 ",2017,Rookie,2.450750738,11,1626161,Willie Cauley-Stein
150,370,0.824932591,Chicago Bulls,0.50544,5,Bobby Portis,"$1,516,320.00 ",2017,Rookie,1.220763098,126,1626171,Bobby Portis
151,371,0.824932591,Chicago Bulls,0.73448,5,Cameron Payne,"$2,203,440.00 ",2017,Rookie,5.793693688,355,1626166,Cameron Payne
152,373,0.824932591,Chicago Bulls,0.437537,5,David Nwaba,"$1,312,611.00 ",2017,Rookie,-4.97763477,203,1628021,David Nwaba
153,374,0.824932591,Chicago Bulls,0.7288,5,Denzel Valentine,"$2,186,400.00 ",2017,Rookie,2.946145522,78,1627756,Denzel Valentine
154,379,0.824932591,Chicago Bulls,0.005741333,5,Jarell Eddie,"$17,224.00 ",2017,Rookie,0.242063549,226,204067,Jarell Eddie
155,380,0.824932591,Chicago Bulls,0.57128,5,Jerian Grant,"$1,713,840.00 ",2017,Rookie,-2.393874879,258,1626170,Jerian Grant
156,381,0.824932591,Chicago Bulls,1.538461667,5,Justin Holiday,"$4,615,385.00 ",2017,Rookie,2.784453116,76,203200,Justin Holiday
157,382,0.824932591,Chicago Bulls,0.437537,5,Kay Felder,"$1,312,611.00 ",2017,Rookie,1.913152559,464,1627770,Kay Felder
158,383,0.824932591,Chicago Bulls,1.34892,5,Kris Dunn,"$4,046,760.00 ",2017,Rookie,3.588259117,434,1627739,Kris Dunn
159,384,0.824932591,Chicago Bulls,1.27388,5,Lauri Markkanen,"$3,821,640.00 ",2017,Rookie,-4.533282218,335,1628374,Lauri Markkanen
160,386,0.824932591,Chicago Bulls,0.437537,5,Paul Zipser,"$1,312,611.00 ",2017,Rookie,-2.078318976,514,1627835,Paul Zipser
161,391,0.824932591,Chicago Bulls,1.067405667,5,Zach LaVine,"$3,202,217.00 ",2017,Rookie,0.560135335,354,203897,Zach LaVine
162,394,-4.014177796,Phoenix Suns,0.271871667,5,Davon Reed,"$815,615.00 ",2017,Rookie,-4.230308471,350,1628432,Davon Reed
163,395,-4.014177796,Phoenix Suns,0.77312,5,Devin Booker,"$2,319,360.00 ",2017,Rookie,-2.217019145,167,1626164,Devin Booker
164,396,-4.014177796,Phoenix Suns,1.4896,5,Dragan Bender,"$4,468,800.00 ",2017,Rookie,-0.04409049,337,1627733,Dragan Bender
165,399,-4.014177796,Phoenix Suns,1.69668,5,Josh Jackson,"$5,090,040.00 ",2017,Rookie,-0.470863088,89,1628367,Josh Jackson
166,400,-4.014177796,Phoenix Suns,1.0246,5,Marquese Chriss,"$3,073,800.00 ",2017,Rookie,-2.973858068,338,1627737,Marquese Chriss
167,401,-4.014177796,Phoenix Suns,1.050977,5,T.J. Warren,"$3,152,931.00 ",2017,Rookie,3.388963647,431,203933,T.J. Warren
168,402,-4.014177796,Phoenix Suns,1.136173333,5,Troy Daniels,"$3,408,520.00 ",2017,Rookie,-3.217953254,65,203584,Troy Daniels
169,403,-4.014177796,Phoenix Suns,0.437537,5,Tyler Ulis,"$1,312,611.00 ",2017,Rookie,0.757696571,64,1627755,Tyler Ulis
170,405,3.979408403,Toronto Raptors ,0.271871667,5,Alfonzo McKinnie,"$815,615.00 ",2017,Rookie,-2.693817196,7,1628035,Alfonzo McKinnie
171,406,3.979408403,Toronto Raptors ,0.817075,5,Bruno Caboclo,"$2,451,225.00 ",2017,Rookie,-3.661102298,359,203998,Bruno Caboclo
172,407,3.979408403,Toronto Raptors ,0.5484,5,Delon Wright,"$1,645,200.00 ",2017,Rookie,-0.521014571,195,1626153,Delon Wright
173,409,3.979408403,Toronto Raptors ,0.437537,5,Fred VanVleet,"$1,312,611.00 ",2017,Rookie,0.983997754,446,1627832,Fred VanVleet
