,rating,Team,mu,sd,name,Contract Value,Year,Type
358,-1.257988701,Sacramento Kings,1.22516,5,Buddy Hield,"$3,675,480.00 ",2017,Rookie
359,-1.257988701,Sacramento Kings,0.394795,5,Frank Mason,"$1,184,385.00 ",2017,Rookie
362,-1.257988701,Sacramento Kings,0.76712,5,Georgios Papagiannis,"$2,301,360.00 ",2017,Rookie
363,-1.257988701,Sacramento Kings,0.78852,5,Justin Jackson,"$2,365,560.00 ",2017,Rookie
365,-1.257988701,Sacramento Kings,0.50152,5,Malachi Richardson,"$1,504,560.00 ",2017,Rookie
366,-1.257988701,Sacramento Kings,0.437537,5,Skal Labissiere,"$1,312,611.00 ",2017,Rookie
368,-1.257988701,Sacramento Kings,1.23472,5,Willie Cauley-Stein,"$3,704,160.00 ",2017,Rookie
370,-1.539041969,Chicago Bulls,0.50544,5,Bobby Portis,"$1,516,320.00 ",2017,Rookie
371,-1.539041969,Chicago Bulls,0.73448,5,Cameron Payne,"$2,203,440.00 ",2017,Rookie
373,-1.539041969,Chicago Bulls,0.437537,5,David Nwaba,"$1,312,611.00 ",2017,Rookie
374,-1.539041969,Chicago Bulls,0.7288,5,Denzel Valentine,"$2,186,400.00 ",2017,Rookie
379,-1.539041969,Chicago Bulls,0.005741333,5,Jarell Eddie,"$17,224.00 ",2017,Rookie
380,-1.539041969,Chicago Bulls,0.57128,5,Jerian Grant,"$1,713,840.00 ",2017,Rookie
381,-1.539041969,Chicago Bulls,1.538461667,5,Justin Holiday,"$4,615,385.00 ",2017,Rookie
382,-1.539041969,Chicago Bulls,0.437537,5,Kay Felder,"$1,312,611.00 ",2017,Rookie
383,-1.539041969,Chicago Bulls,1.34892,5,Kris Dunn,"$4,046,760.00 ",2017,Rookie
384,-1.539041969,Chicago Bulls,1.27388,5,Lauri Markkanen,"$3,821,640.00 ",2017,Rookie
386,-1.539041969,Chicago Bulls,0.437537,5,Paul Zipser,"$1,312,611.00 ",2017,Rookie
391,-1.539041969,Chicago Bulls,1.067405667,5,Zach LaVine,"$3,202,217.00 ",2017,Rookie
394,-3.470284758,Phoenix Suns,0.271871667,5,Davon Reed,"$815,615.00 ",2017,Rookie
395,-3.470284758,Phoenix Suns,0.77312,5,Devin Booker,"$2,319,360.00 ",2017,Rookie
396,-3.470284758,Phoenix Suns,1.4896,5,Dragan Bender,"$4,468,800.00 ",2017,Rookie
399,-3.470284758,Phoenix Suns,1.69668,5,Josh Jackson,"$5,090,040.00 ",2017,Rookie
400,-3.470284758,Phoenix Suns,1.0246,5,Marquese Chriss,"$3,073,800.00 ",2017,Rookie
401,-3.470284758,Phoenix Suns,1.050977,5,T.J. Warren,"$3,152,931.00 ",2017,Rookie
402,-3.470284758,Phoenix Suns,1.136173333,5,Troy Daniels,"$3,408,520.00 ",2017,Rookie
403,-3.470284758,Phoenix Suns,0.437537,5,Tyler Ulis,"$1,312,611.00 ",2017,Rookie
405,11.46367947,Toronto Raptors ,0.271871667,5,Alfonzo McKinnie,"$815,615.00 ",2017,Rookie
