,Name,Team,Season,Salary,Type
1182,Bismack Biyombo,Charlotte Bobcats,2011,2798040,Rookie
1183,Bismack Biyombo,Charlotte Bobcats,2012,3007920,Rookie
1184,Bismack Biyombo,Charlotte Bobcats,2013,3049920,Rookie
1185,Bismack Biyombo,Charlotte Hornets,2014,3873398,Rookie
1186,Bismack Biyombo,Toronto Raptors,2015,3000000,Non-rookie
1187,Bismack Biyombo,Orlando Magic,2016,17000000,Non-rookie
1188,Bismack Biyombo,Orlando Magic,2017,17000000,Non-rookie
1189,Nemanja Bjelica,Minnesota Timberwolves,2015,4000000,Rookie
1190,Nemanja Bjelica,Minnesota Timberwolves,2016,3800000,Rookie
1191,Nemanja Bjelica,Minnesota Timberwolves,2017,3949999,Rookie
1206,Tarik Black,Los Angeles Lakers,2014,507336,Rookie
1207,Tarik Black,Los Angeles Lakers,2015,845059,Rookie
1208,Tarik Black,Los Angeles Lakers,2016,6191000,Rookie
1209,Tarik Black,Houston Rockets,2017,3290000,Rookie
1211,DeJuan Blair,San Antonio Spurs,2010,918000,Rookie
1212,DeJuan Blair,San Antonio Spurs,2011,986000,Rookie
1213,DeJuan Blair,San Antonio Spurs,2012,1054000,Rookie
1214,DeJuan Blair,Dallas Mavericks,2013,947907,Non-rookie
1215,DeJuan Blair,Washington Wizards,2014,2000000,Non-rookie
1216,DeJuan Blair,Phoenix Suns,2015,2000000,Non-rookie
1224,Steve Blake,Los Angeles Lakers,2010,4000000,Non-rookie
1225,Steve Blake,Los Angeles Lakers,2011,4000000,Non-rookie
1226,Steve Blake,Los Angeles Lakers,2012,4000000,Non-rookie
1227,Steve Blake,Los Angeles Lakers,2013,4000000,Non-rookie
1228,Steve Blake,Portland Trail Blazers,2014,2077000,Non-rookie
1229,Steve Blake,Detroit Pistons,2015,2170465,Non-rookie
1240,Andray Blatche,Washington Wizards,2010,5900000,Non-rookie
1241,Andray Blatche,Washington Wizards,2011,6442083,Non-rookie
1242,Andray Blatche,Washington Wizards,2012,7118502,Non-rookie
1243,Andray Blatche,Brooklyn Nets,2012,1146337,Non-rookie
1244,Andray Blatche,Brooklyn Nets,2013,1375604,Non-rookie
1245,Andray Blatche,Washington Wizards,2014,8471339,Non-rookie
